Label,PaymasterName,PaymasterAddress,EntryPoint,Chain,FromBlock,ToBlock,BlockNumber,TxHash,UserOpHash,Sender,ActualGasUsed,FilterNotes
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741103,0xb2aaaaa3873427398933c19c81991ba286e722f432ed9b8172172c33fcc6cfa8,0x168b676a08a689830d9684ffb88ccf4c4d1f0df82e2c6c3cf9479695177aa19b,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741112,0x00a4edb86518084b08bb165f9970522d8122ad4b798d909a72b21877ba667c6e,0x49b9b49c4387bac59b1253e73d72aa7f533b547c5797a6047c3c5eebf670b0e5,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741122,0xb828c05709da2797928b1528203a5ebbc4d8a4db51f2fdb5a18ba89ee86226e3,0x7354351b186c9a766704ca6d87f88c4b59395a75aced63effb269d87dab3017a,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741131,0xaf7961c30662b7db9b5e49ea44669935cc29807a30860346fffc82a6ba0c57d0,0xcdd90f7c3bac4a895c304e89fc54e0c1ca387fa0d6a0d54aea70870467c98740,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741140,0xeedd22aa8b73cf4e43e2dad2fbbd3a08b21467b6cea269c2af2d4c34262b09ef,0xa43d8121cee83971bfb63f602c78003e31a1b3c4789d020f7f2fc400151cba4e,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741358,0xf458a51f8e8d8103f8706263ee7087b1c65c9bb8496d060e87db9032b38b708a,0x0c2358edf68cba620b3eaa8f9c7da3e656da142f2f1c3c58804b8b72292f585c,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741367,0xd14201dd484a0e7c7e274a8fc48d5453066b365645b328b8cc0c11177c870186,0x73271ade2b08ac6f41eff9be9d0a07521cdc1146042bafb9f54f7f4119407b90,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741375,0x0e36339972ff75ec33e2629bb3d4517f7502873ec495a0e0ac7d4ff6f951e487,0x008c8b92f29b1b6b03e512025c6bd5b8300d16e24abf86e5b9d927270aa6b267,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741382,0xef8fef6d03d9f7e4a129a496c18c4ad555630232ce7c12429b97900895fc2501,0xf8a4199d4d9f1bcb7028bb13ea898b591260c340812ebd85d298bc3ec14f3613,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741392,0x400b6ba02c8be9589c78fdda7a34639ebe06ac077757adf010b11bec6cbc7f98,0xcfab344f208d11ebff4c72b1a14083541b4a11b415336a7a685912c9c8c018cf,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_CONTROLLED_T2_SP_CREDIT,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147741400,0x787a77d9034287ced654992c145b12aac98f0745293804b20281e63bbbc87f25,0xc6675948bd5171cc52747d01ee3594f25ee807f3daf09354675decb264a3eb4b,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,single-UserOp bundle; execute->ERC20 transfer
